OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01372,1.2e-05,0,6e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu01373,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(92),Bacteroidales(92),Bacteroidales_unclassified(92),Bacteroidales_unclassified(92),
Otu01377,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01379,0,0,0,1.3e-05,0,1.3e-05,0.140624,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01382,1.2e-05,0,9e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu01388,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(59),Bacteroidales_unclassified(59),
Otu01394,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01395,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01399,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01411,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Tenericutes(100),Mollicutes(100),Anaeroplasmatales(100),Anaeroplasmataceae(100),Anaeroplasma(100),
