OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu17776,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu17778,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu17780,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(100),Streptococcus(100),
Otu17785,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu17798,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu17809,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu17811,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Enterococcaceae(100),Enterococcaceae_unclassified(100),
Otu17816,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu17818,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Coriobacteriaceae_unclassified(100),
Otu17822,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Parabacteroides(100),
Otu17838,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu17840,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu17856,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu17865,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu17947,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu17984,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu18006,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu18011,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu18021,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu18035,0,0,0,7e-06,0,7e-06,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridia_unclassified(100),Clostridia_unclassified(100),Clostridia_unclassified(100),
Otu18061,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu18062,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu18073,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu18076,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu18080,7e-06,0,7e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
