OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu04884,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Erysipelotrichia(67),Erysipelotrichales(67),Erysipelotrichaceae(67),Erysipelotrichaceae_unclassified(67),
Otu04893,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),
Otu04904,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Proteobacteria(67),Proteobacteria_unclassified(67),Proteobacteria_unclassified(67),Proteobacteria_unclassified(67),Proteobacteria_unclassified(67),
Otu04905,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04914,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu04923,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),
Otu04926,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu04932,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteria_unclassified(67),Bacteria_unclassified(67),Bacteria_unclassified(67),Bacteria_unclassified(67),Bacteria_unclassified(67),
Otu04935,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Proteobacteria(100),Epsilonproteobacteria(100),Campylobacterales(100),Helicobacteraceae(100),Helicobacter(100),
Otu04937,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Porphyromonadaceae(67),Porphyromonadaceae_unclassified(67),
Otu04942,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(67),
Otu04953,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04956,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04970,0,0,0,1.3e-05,0,9e-06,0.183673,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu04977,0,0,0,1.3e-05,0,1.3e-05,0.183673,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04988,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Romboutsia(100),
Otu05021,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(67),Burkholderiales_unclassified(67),Burkholderiales_unclassified(67),
Otu05035,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),
Otu05040,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Turicibacter(100),
Otu05048,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Lactobacillales_unclassified(67),Lactobacillales_unclassified(67),
Otu05058,0,0,0,1.3e-05,0,9e-06,0.183673,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu05098,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Erysipelotrichia(67),Erysipelotrichales(67),Erysipelotrichaceae(67),Erysipelotrichaceae_unclassified(67),
Otu05102,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu05115,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu05120,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu05130,0,0,0,1.3e-05,0,9e-06,0.183673,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu05131,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu05148,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu05158,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Nocardiaceae(100),Rhodococcus(100),
Otu05166,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Romboutsia(100),
Otu05170,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu05182,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Chlamydiae(100),Chlamydiia(100),Chlamydiales(100),Chlamydiaceae(100),Chlamydia(100),
Otu05189,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu05243,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu05267,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu05296,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu05305,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu05323,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
